                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2851,                  1.025,                 1.3654,                0.93603,                0.72131,                0.90154,                0.55878,                 1.3534,                 1.0912,                  1.517,             0.00065934,             0.00065934,             0.00065934
                      1,                 1.2974,                0.80975,                 1.3836,                0.85113,                0.67778,                0.79042,                0.51351,                 1.3229,                 1.1468,                 1.4134,              0.0013129,              0.0013129,              0.0013129
                      2,                 1.2508,                0.82737,                 1.3455,                0.89894,                0.70992,                0.79371,                0.51101,                 1.2549,                 1.6273,                 1.3799,              0.0019532,              0.0019532,              0.0019532
                      3,                  1.246,                0.73096,                 1.3686,                0.89979,                0.86417,                0.93269,                0.61806,                 1.2326,                0.69713,                 1.3942,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.2276,                0.71923,                 1.3739,                0.91598,                0.73474,                0.84757,                0.55324,                 1.3476,                0.84851,                  1.453,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2079,                0.65051,                 1.3222,                0.85522,                0.88615,                0.93537,                0.63815,                 1.1582,                0.65429,                 1.3041,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1059,                0.57308,                  1.263,                0.86943,                0.88317,                0.93483,                0.64467,                 1.1366,                0.68109,                 1.3055,               0.001901,               0.001901,               0.001901
                      7,                  1.109,                0.56759,                 1.2769,                0.88446,                0.87676,                0.94704,                0.64926,                 1.1961,                0.60192,                 1.3079,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1209,                0.58797,                 1.2655,                0.88896,                0.86268,                0.93937,                0.66109,                 1.0551,                0.57711,                 1.2374,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0638,                0.53183,                 1.2263,                0.92711,                0.89319,                 0.9616,                0.65424,                 1.1548,                0.53318,                  1.281,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0953,                0.55834,                 1.2373,                0.90575,                0.90236,                0.95992,                0.67797,                 1.0875,                 0.5317,                 1.2771,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0605,                 0.5387,                  1.245,                0.90883,                0.93598,                0.95873,                0.67479,                 1.1014,                 0.5309,                 1.2638,               0.001802,               0.001802,               0.001802
                     12,                 1.0437,                0.50582,                 1.2236,                0.90576,                0.94755,                 0.9751,                0.70009,                 1.0424,                 0.4967,                 1.2331,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0604,                0.52139,                 1.2334,                0.95382,                0.91549,                0.97628,                0.67689,                 1.0891,                 0.5061,                 1.2578,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0441,                0.49914,                 1.2332,                0.93042,                0.92606,                0.95806,                0.65414,                 1.1461,                0.50747,                 1.2828,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0664,                0.49369,                 1.2309,                 0.9005,                0.95657,                0.97865,                0.68229,                 1.0956,                0.50456,                 1.2646,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0645,                0.51212,                 1.2468,                 0.9091,                0.93903,                0.96408,                 0.6746,                 1.1002,                0.51363,                 1.2607,               0.001703,               0.001703,               0.001703
                     17,                 1.0441,                0.50157,                 1.2098,                 0.8915,                0.92586,                 0.9667,                0.69698,                 1.0111,                0.50875,                 1.2105,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0354,                0.49401,                  1.212,                0.95427,                0.93073,                0.98308,                0.70034,                 1.0045,                0.46295,                 1.2165,              0.0016634,              0.0016634,              0.0016634
                     19,                0.99235,                0.47036,                 1.1893,                0.92633,                0.94459,                0.98222,                0.71323,                 1.0044,                0.45797,                 1.2058,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0281,                0.48062,                 1.2189,                 0.9399,                0.94131,                0.98444,                0.70512,                 1.0367,                0.46223,                 1.2155,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0135,                 0.4618,                 1.1977,                0.91559,                0.94484,                0.97447,                0.69779,                 1.0256,                0.46175,                 1.2046,               0.001604,               0.001604,               0.001604
                     22,                0.99082,                0.44839,                 1.2073,                0.94685,                0.94088,                 0.9738,                0.70752,                0.99383,                0.45652,                 1.1931,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0099,                0.45659,                 1.1926,                0.94214,                0.94718,                0.97747,                0.70027,                 1.0449,                 0.4663,                 1.2049,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0153,                0.46425,                 1.2009,                 0.9512,                0.92136,                0.97404,                0.68196,                 1.0666,                0.46409,                 1.2426,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0094,                0.46411,                 1.1959,                0.93997,                0.95892,                0.98632,                0.69478,                 1.0311,                0.45177,                 1.2112,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0098,                0.46102,                 1.1758,                0.94311,                0.95657,                0.97951,                0.70157,                 1.0288,                0.45014,                 1.2212,               0.001505,               0.001505,               0.001505
                     27,                 1.0033,                0.45489,                    1.2,                0.94072,                0.93662,                0.97666,                0.71649,                0.98643,                0.43155,                  1.189,              0.0014852,              0.0014852,              0.0014852
                     28,                0.98383,                0.43235,                 1.1724,                0.95346,                0.93781,                0.98514,                0.71919,                 1.0095,                0.43074,                 1.2126,              0.0014654,              0.0014654,              0.0014654
                     29,                0.97435,                0.43589,                 1.1989,                0.94098,                0.93545,                 0.9754,                0.71178,                 0.9861,                0.42859,                 1.1928,              0.0014456,              0.0014456,              0.0014456
                     30,                0.97778,                0.42861,                 1.1706,                0.93809,                0.96034,                0.98354,                0.71584,                0.99019,                0.43693,                  1.198,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.018,                0.44707,                 1.2012,                 0.9514,                0.94197,                0.98564,                0.71239,                 1.0293,                0.44512,                  1.203,               0.001406,               0.001406,               0.001406
